Mapping,City_Id,dest_city_name,L3_Id,L3_Area,L4_Id,L4_Zone,warehouse_id,warehouse_title,Area_Id,Concatenated_Areas,Correct Warehouse Title
Daraz Mapping,2,Lahore,1591,Lahore - Defence Road Raiwind,4688,Descon Workshop,3,,LHE Head Office,"Lahore - Defence Road Raiwind, Descon Workshop, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1614,Lahore - PIA Road PGECHS,8287,Phase 1 Block B 1,3,,LHE Head Office,"Lahore - PIA Road PGECHS, Phase 1 Block B 1, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1596,Lahore - Engineers Town,8311,Phase 3 Block A,3,,LHE Head Office,"Lahore - Engineers Town, Phase 3 Block A, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1463,Lahore - Punjab Society,6286,Block A,3,,LHE Head Office,"Lahore - Punjab Society, Block A, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1591,Lahore - Defence Road Raiwind,4696,Labour Colony,3,,LHE Head Office,"Lahore - Defence Road Raiwind, Labour Colony, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1590,Lahore - Sukh Chain Garden,4877,Block D,3,,LHE Head Office,"Lahore - Sukh Chain Garden, Block D, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1596,Lahore - Engineers Town,8828,Phase 3 Block C,3,,LHE Head Office,"Lahore - Engineers Town, Phase 3 Block C, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1554,Lahore - Nespak,7543,Phase 2 Block B,3,,LHE Head Office,"Lahore - Nespak, Phase 2 Block B, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1478,Lahore - Sanda Islampura,4832,Mao College,52,,Davis LHE Hub,"Lahore - Sanda Islampura, Mao College, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1596,Lahore - Engineers Town,8860,Phase 3 Block B 2,3,,LHE Head Office,"Lahore - Engineers Town, Phase 3 Block B 2, Lahore",Thokar Hub
Daraz Mapping,2,Lahore,1494,Lahore - Yateem Khana,8863,Kot Kamboh,52,,Davis LHE Hub,"Lahore - Yateem Khana, Kot Kamboh, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1621,Lahore - Pak Arab Society,8868,Block BB,3,,LHE Head Office,"Lahore - Pak Arab Society, Block BB, Lahore",LHE Head Office
Daraz Mapping,2,Lahore,1478,Lahore - Sanda Islampura,8874,Heran Road,52,,Davis LHE Hub,"Lahore - Sanda Islampura, Heran Road, Lahore",Davis LHE Hub
Daraz Mapping,2,Lahore,1494,Lahore - Yateem Khana,8892,Dholanwal,52,,Davis LHE Hub,"Lahore - Yateem Khana, Dholanwal, Lahore",Davis LHE Hub
